N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
200.000000,0.000052,0.000052,0.000023,0.000021,0.000083,0.000021,0.000016,0.000023,0.000016,0.000029,0.000071,0.000031,0.000026,0.002253,0.000001,0.000002,0.000020,0.000001,0.000000,0.000017,0.000001,0.000013
400.000000,0.000209,0.000205,0.000063,0.000050,0.000325,0.000046,0.000041,0.000037,0.000042,0.000081,0.000264,0.000071,0.000074,0.009721,0.000004,0.000005,0.000078,0.000003,0.000002,0.000066,0.000002,0.000053
600.000000,0.000420,0.000429,0.000089,0.000070,0.000638,0.000082,0.000044,0.000092,0.000055,0.000140,0.000564,0.000110,0.000167,0.027411,0.000006,0.000006,0.000170,0.000003,0.000001,0.000148,0.000002,0.000127
800.000000,0.000775,0.000778,0.000122,0.000108,0.001159,0.000101,0.000059,0.000079,0.000060,0.000219,0.001014,0.000159,0.000294,0.056257,0.000008,0.000008,0.000307,0.000006,0.000002,0.000266,0.000002,0.000241
999.000000,0.001212,0.001257,0.000142,0.000121,0.001796,0.000127,0.000104,0.000114,0.000071,0.000323,0.001655,0.000197,0.000446,0.097555,0.000009,0.000010,0.000504,0.000007,0.000002,0.000440,0.000002,0.000436
